0,1,2,3,4,5,6,7,8
377,521,512,188,425,301,366,427,488
0,396,397,398,399,400,401,402,403
377,164,0,272,102,197,52,328,557
377,88,583,343,235,200,127,106,50
377,251,575,332,530,392,545,425,395
377,455,431,48,27,186,337,195,303
377,338,31,390,484,200,50,339,546
377,496,567,381,470,218,384,34,508
377,235,553,324,313,395,208,549,252
377,146,502,473,557,216,542,128,247
377,74,258,452,158,453,99,435,305
377,454,493,18,527,297,263,117,270
377,193,181,568,239,598,493,562,337
377,455,65,117,565,18,189,284,257
377,456,546,382,9,548,480,152,228
377,384,235,208,12,99,293,477,318
530,251,377,575,380,545,410,174,230
377,346,46,236,335,374,541,286,522
377,145,490,206,9,238,346,481,244
377,34,384,235,513,143,367,380,332
377,353,33,414,32,195,127,431,308
377,209,94,497,150,536,57,46,233
377,565,447,9,395,1,27,33,285
377,9,48,288,338,50,200,407,287
377,541,163,154,192,424,503,226,361
476,377,434,133,326,470,424,313,106
377,336,240,16,197,120,390,204,382
377,137,32,215,568,140,597,92,203
377,321,219,38,60,19,137,432,215
377,328,321,397,398,399,400,401,402
377,193,579,598,527,562,393,538,569
377,238,130,208,568,182,399,411,340
377,308,5,9,447,29,495,275,225
377,505,199,277,118,148,132,152,583
377,209,251,575,530,392,545,380,357
377,6,498,562,196,567,438,511,407
377,82,22,442,217,542,538,371,241
377,26,566,416,92,597,560,58,197
377,542,396,488,532,593,284,354,222
377,193,208,471,64,324,346,181,14
125,377,359,442,217,341,513,479,413
377,207,412,285,597,111,317,130,599
377,472,153,370,248,576,504,397,398
377,491,449,14,311,27,363,174,186
377,182,481,466,467,101,266,42,178
377,389,455,258,117,18,209,189,368
377,564,477,34,341,442,457,217,512
377,58,597,165,366,413,464,160,306
377,222,401,274,263,400,163,106,313
377,332,380,538,251,301,575,392,530
377,206,157,467,454,381,223,588,441
377,430,586,170,346,84,306,376,431
377,16,320,420,116,129,90,231,256
377,253,100,427,270,520,487,130,483
377,259,103,175,193,538,586,427,589
377,381,455,296,518,353,489,471,80
257,377,215,137,32,140,9,366,306
377,490,346,481,238,556,461,218,208
326,377,401,512,521,476,133,470,463
377,438,210,285,158,283,305,246,113
377,477,99,320,61,475,182,152,502
377,355,333,503,310,312,201,8,520
377,435,459,281,488,411,466,283,479
377,234,224,553,488,592,391,287,479
377,509,561,46,236,334,473,146,232
377,495,9,5,308,275,447,480,462
217,82,22,377,538,241,341,479,412
377,4,132,246,430,314,212,21,284
377,254,158,560,305,469,522,563,62
377,47,466,120,25,117,191,33,488
377,0,396,397,398,399,400,401,402
9,377,270,332,408,495,5,308,441
377,359,79,211,130,110,195,244,456
377,101,98,311,20,482,281,354,284
377,462,374,57,138,48,527,381,579
377,526,238,167,568,252,511,595,357
377,545,544,386,209,371,253,278,110
377,324,384,235,553,360,542,27,386
377,224,327,387,234,157,426,424,588
377,381,431,111,389,117,18,189,421
377,390,117,322,344,152,79,448,548
377,493,568,9,422,369,181,257,18
377,335,542,131,578,170,506,94,357
377,487,438,306,152,54,481,582,149
377,139,144,494,351,114,399,400,401
377,296,218,33,141,233,433,32,270
377,450,275,495,9,465,12,308,5
377,565,298,255,268,216,569,109,434
377,36,545,476,560,162,152,521,376
32,377,275,495,462,9,408,269,447
377,117,481,167,47,445,120,597,438
377,581,182,266,163,133,594,172,25
377,591,474,123,154,249,471,379,398
377,340,103,259,594,118,205,229,444
377,401,34,184,434,383,277,422,496
377,328,219,272,324,27,415,431,346
377,418,314,542,488,331,332,311,473
377,542,341,442,217,488,479,143,311
377,96,468,591,65,123,223,154,253
377,320,502,260,176,436,523,31,269
401,377,434,36,133,326,470,560,162
377,296,422,436,441,54,475,320,391
377,76,80,529,85,148,526,199,481
488,377,217,442,341,295,191,30,282
23,9,377,308,5,275,495,441,29
490,346,377,238,556,350,466,283,145
377,81,288,449,489,311,54,327,154
377,242,179,226,223,201,270,253,227
377,599,581,115,382,200,50,73,334
377,158,212,563,442,217,341,104,305
377,561,493,505,152,467,459,445,487
377,211,193,459,306,71,130,481,598
479,377,542,295,191,332,311,30,282
377,207,581,111,52,579,482,164,467
346,481,238,556,377,283,145,540,433
377,171,357,419,114,224,61,279,226
377,63,227,488,237,537,479,330,282
377,568,457,486,181,8,3,61,324
377,114,351,506,532,460,509,281,138
377,9,275,441,5,308,462,465,447
377,583,383,106,172,283,37,470,384
377,397,278,536,232,312,346,94,467
6,377,562,411,15,567,180,438,315
377,0,396,397,398,399,400,401,402
377,159,141,131,12,242,33,205,511
377,556,538,564,170,100,30,291,540
377,542,320,201,131,540,506,173,475
377,437,8,120,408,400,263,163,584
377,323,153,178,418,290,390,576,233
377,409,172,157,486,152,318,487,581
377,542,131,522,194,355,187,502,592
377,0,442,217,513,341,546,479,204
377,541,297,218,127,438,383,372,95
377,440,86,442,341,217,561,479,494
377,280,53,542,146,522,131,182,201
377,526,61,69,411,304,451,273,150
521,377,434,326,376,564,422,34,470
377,143,359,0,8,590,395,507,416
377,155,520,541,437,320,67,27,427
377,50,200,159,484,263,594,382,150
516,377,9,275,150,480,46,269,5
377,583,350,356,106,535,50,182,200
377,564,431,368,29,296,75,65,154
377,560,281,466,228,167,321,50,200
377,230,251,467,62,320,25,541,437
521,377,434,326,376,564,422,34,470
377,506,590,62,195,444,50,200,510
377,85,526,121,76,278,282,320,475
377,555,557,368,384,297,313,65,427
377,290,480,283,101,45,272,98,23
377,511,85,121,451,304,523,273,488
377,368,535,349,323,213,356,219,450
377,237,335,120,448,240,150,388,289
377,76,478,19,347,288,80,589,559
392,575,377,251,380,545,546,410,332
377,227,556,63,107,54,492,340,237
377,114,109,494,414,351,517,13,128
575,377,530,392,46,148,195,362,483
377,348,60,390,252,548,466,208,366
377,527,583,213,349,277,69,321,496
377,506,50,200,94,397,242,497,366
377,492,488,261,595,479,330,182,137
22,82,377,217,442,247,241,412,175
17,377,333,158,305,435,81,560,386
377,556,490,346,481,238,502,542,320
377,154,508,372,170,544,400,94,393
377,488,131,311,332,506,194,502,355
377,59,365,51,327,213,264,286,375
377,452,67,371,541,506,154,94,372
377,380,251,575,530,392,332,410,452
377,0,275,408,155,530,390,465,382
377,578,353,189,180,142,96,458,37
377,390,294,534,456,156,80,97,10
377,384,42,235,314,324,317,118,553
10,377,124,145,8,490,36,26,359
377,275,403,0,397,398,399,400,401
93,377,35,408,407,406,405,404,403
377,384,235,208,324,395,453,470,313
377,273,375,397,398,399,400,401,403
377,524,584,64,369,564,177,411,525
490,377,540,346,481,238,283,501,145
377,368,524,247,595,197,328,577,14
377,493,83,442,217,341,555,433,479
377,103,259,347,21,591,592,116,37
377,62,290,444,189,195,36,519,26
377,486,570,440,459,509,442,341,217
377,193,6,498,598,411,181,373,567
254,158,377,305,2,343,285,444,485
377,30,351,132,219,422,21,373,375
377,463,389,301,398,257,24,285,38
26,377,344,413,590,560,359,513,550
