0,1,2,3,4,5,6
1.0,1.3,1.31,1.32,1.32,1.32,1.33
1.0,1.33,1.36,1.37,1.37,1.41,1.41
1.0,1.17,1.23,1.26,1.29,1.31,1.31
1.0,1.2,1.25,1.26,1.29,1.32,1.32
1.0,1.21,1.24,1.25,1.26,1.26,1.27
1.0,1.28,1.29,1.32,1.33,1.33,1.35
1.0,1.24,1.29,1.3,1.33,1.34,1.35
1.0,1.22,1.23,1.24,1.25,1.28,1.3
1.0,1.29,1.3,1.31,1.32,1.33,1.33
1.0,1.22,1.28,1.31,1.32,1.32,1.32
1.0,1.27,1.28,1.28,1.28,1.3,1.3
1.0,1.02,1.06,1.11,1.17,1.22,1.23
1.0,1.15,1.15,1.21,1.27,1.27,1.28
1.0,1.17,1.28,1.29,1.29,1.3,1.3
1.0,1.26,1.31,1.31,1.33,1.33,1.33
1.0,1.11,1.11,1.19,1.19,1.23,1.25
0.0,0.86,1.0,1.18,1.27,1.29,1.31
1.0,1.15,1.23,1.28,1.31,1.31,1.32
1.0,1.24,1.27,1.28,1.29,1.3,1.31
1.0,1.17,1.22,1.32,1.32,1.32,1.32
1.0,1.29,1.29,1.32,1.32,1.32,1.34
1.0,1.13,1.2,1.21,1.23,1.26,1.27
0.64,0.98,1.0,1.17,1.18,1.2,1.27
1.0,1.29,1.31,1.32,1.33,1.33,1.34
1.0,1.15,1.23,1.29,1.29,1.3,1.31
1.0,1.32,1.33,1.34,1.34,1.34,1.34
1.0,1.1,1.19,1.27,1.29,1.3,1.3
1.0,1.27,1.3,1.3,1.31,1.32,1.32
1.0,1.29,1.29,1.3,1.31,1.31,1.31
1.0,1.25,1.27,1.28,1.29,1.3,1.31
1.0,1.28,1.32,1.32,1.33,1.33,1.33
1.0,1.07,1.15,1.19,1.26,1.26,1.29
1.0,1.17,1.28,1.3,1.3,1.35,1.36
0.94,1.0,1.01,1.13,1.15,1.18,1.19
1.0,1.19,1.23,1.25,1.27,1.29,1.29
1.0,1.16,1.27,1.28,1.29,1.31,1.31
1.0,1.25,1.29,1.29,1.31,1.32,1.32
1.0,1.28,1.31,1.32,1.34,1.35,1.35
1.0,1.27,1.29,1.33,1.34,1.34,1.35
1.0,1.22,1.26,1.27,1.27,1.3,1.32
0.0,1.0,1.18,1.2,1.24,1.24,1.24
1.0,1.22,1.24,1.26,1.29,1.3,1.3
1.0,1.24,1.24,1.28,1.29,1.3,1.32
1.0,1.3,1.31,1.31,1.33,1.34,1.34
1.0,1.14,1.3,1.31,1.31,1.31,1.31
1.0,1.23,1.25,1.28,1.28,1.28,1.28
1.0,1.2,1.25,1.28,1.29,1.3,1.31
1.0,1.21,1.24,1.24,1.24,1.41,1.41
1.0,1.22,1.23,1.23,1.24,1.24,1.25
1.0,1.08,1.29,1.3,1.31,1.31,1.31
1.0,1.24,1.24,1.25,1.26,1.27,1.27
1.0,1.14,1.14,1.21,1.22,1.22,1.27
1.0,1.24,1.25,1.29,1.31,1.32,1.33
1.0,1.18,1.29,1.29,1.3,1.31,1.31
1.0,1.15,1.31,1.32,1.33,1.33,1.34
0.54,0.73,1.0,1.15,1.16,1.2,1.26
1.0,1.17,1.24,1.24,1.25,1.26,1.26
0.0,0.69,0.69,1.0,1.07,1.09,1.09
1.0,1.28,1.3,1.3,1.32,1.32,1.33
1.0,1.19,1.2,1.23,1.25,1.31,1.31
1.0,1.29,1.3,1.3,1.31,1.32,1.32
1.0,1.2,1.2,1.2,1.25,1.29,1.32
1.0,1.07,1.21,1.27,1.28,1.31,1.31
1.0,1.14,1.2,1.23,1.25,1.28,1.28
1.0,1.23,1.28,1.31,1.31,1.31,1.32
1.0,1.1,1.1,1.15,1.18,1.21,1.22
1.0,1.28,1.29,1.31,1.32,1.32,1.32
1.0,1.19,1.25,1.26,1.27,1.28,1.29
1.0,1.28,1.29,1.29,1.32,1.32,1.32
1.0,1.24,1.28,1.29,1.31,1.32,1.32
0.91,1.0,1.06,1.16,1.24,1.27,1.31
1.0,1.18,1.21,1.26,1.27,1.29,1.29
1.0,1.3,1.3,1.31,1.31,1.33,1.33
1.0,1.28,1.3,1.32,1.32,1.32,1.32
1.0,1.22,1.23,1.23,1.28,1.28,1.32
1.0,1.08,1.18,1.18,1.22,1.22,1.23
1.0,1.29,1.3,1.31,1.32,1.32,1.32
1.0,1.19,1.24,1.26,1.3,1.3,1.31
0.77,0.99,1.0,1.0,1.06,1.11,1.18
1.0,1.25,1.28,1.29,1.3,1.3,1.3
1.0,1.26,1.31,1.31,1.32,1.32,1.33
0.96,0.96,1.0,1.09,1.09,1.18,1.25
1.0,1.18,1.25,1.26,1.27,1.27,1.27
1.0,1.33,1.33,1.34,1.34,1.35,1.35
1.0,1.13,1.26,1.26,1.31,1.32,1.33
1.0,1.31,1.34,1.34,1.36,1.36,1.36
1.0,1.23,1.25,1.28,1.29,1.29,1.3
1.0,1.07,1.16,1.16,1.23,1.23,1.26
1.0,1.26,1.31,1.33,1.33,1.34,1.34
1.0,1.32,1.33,1.35,1.36,1.36,1.36
1.0,1.23,1.29,1.29,1.32,1.32,1.32
0.91,0.99,1.0,1.07,1.08,1.1,1.15
1.0,1.23,1.26,1.29,1.29,1.29,1.3
1.0,1.22,1.23,1.28,1.28,1.28,1.3
0.71,1.0,1.09,1.11,1.14,1.33,1.33
1.0,1.14,1.17,1.19,1.24,1.27,1.29
1.0,1.14,1.24,1.29,1.29,1.3,1.31
0.85,1.0,1.16,1.16,1.17,1.21,1.23
1.0,1.1,1.23,1.32,1.32,1.32,1.33
0.0,1.0,1.05,1.07,1.1,1.1,1.15
0.0,0.86,1.0,1.18,1.27,1.29,1.31
1.0,1.26,1.28,1.3,1.31,1.31,1.31
0.89,1.0,1.24,1.29,1.29,1.31,1.31
1.0,1.26,1.26,1.31,1.32,1.32,1.33
1.0,1.26,1.27,1.28,1.28,1.31,1.31
0.89,1.0,1.22,1.28,1.28,1.3,1.3
0.64,1.0,1.08,1.18,1.23,1.23,1.25
1.0,1.23,1.28,1.3,1.3,1.31,1.32
1.0,1.21,1.23,1.25,1.26,1.27,1.3
1.0,1.16,1.21,1.22,1.27,1.28,1.28
1.0,1.1,1.22,1.25,1.27,1.27,1.27
1.0,1.34,1.34,1.35,1.35,1.35,1.35
1.0,1.25,1.28,1.28,1.29,1.29,1.3
1.0,1.05,1.24,1.27,1.29,1.3,1.3
1.0,1.27,1.29,1.31,1.31,1.31,1.32
1.0,1.04,1.05,1.05,1.07,1.09,1.09
1.0,1.32,1.32,1.33,1.33,1.34,1.35
1.0,1.15,1.25,1.26,1.27,1.3,1.3
1.0,1.25,1.29,1.29,1.29,1.29,1.3
1.0,1.23,1.28,1.3,1.3,1.31,1.31
1.0,1.18,1.18,1.18,1.22,1.24,1.26
1.0,1.24,1.25,1.26,1.28,1.28,1.29
1.0,1.2,1.21,1.24,1.27,1.28,1.29
1.0,1.13,1.21,1.22,1.22,1.24,1.24
1.0,1.07,1.19,1.26,1.26,1.27,1.28
1.0,1.26,1.27,1.28,1.29,1.29,1.29
1.0,1.27,1.28,1.28,1.29,1.31,1.32
1.0,1.27,1.3,1.3,1.31,1.33,1.34
1.0,1.27,1.28,1.29,1.3,1.32,1.32
1.0,1.31,1.31,1.32,1.32,1.33,1.33
1.0,1.21,1.23,1.27,1.29,1.3,1.31
1.0,1.22,1.3,1.31,1.31,1.32,1.33
1.0,1.16,1.28,1.33,1.35,1.35,1.35
1.0,1.21,1.24,1.25,1.26,1.28,1.31
1.0,1.29,1.31,1.32,1.34,1.35,1.35
1.0,1.12,1.17,1.26,1.3,1.3,1.3
1.0,1.24,1.26,1.28,1.29,1.3,1.31
1.0,1.27,1.29,1.31,1.31,1.32,1.33
1.0,1.17,1.24,1.26,1.26,1.28,1.29
0.86,0.86,1.0,1.3,1.32,1.32,1.33
1.0,1.3,1.3,1.31,1.31,1.31,1.31
1.0,1.23,1.29,1.3,1.3,1.32,1.33
1.0,1.17,1.28,1.31,1.32,1.32,1.33
1.0,1.23,1.26,1.28,1.28,1.28,1.3
1.0,1.23,1.25,1.28,1.29,1.33,1.33
0.52,1.0,1.03,1.14,1.18,1.24,1.28
1.0,1.23,1.24,1.26,1.28,1.29,1.31
0.85,1.0,1.33,1.34,1.34,1.34,1.34
0.0,1.0,1.02,1.03,1.05,1.06,1.08
1.0,1.17,1.2,1.2,1.29,1.29,1.3
0.85,1.0,1.31,1.31,1.32,1.33,1.33
0.9,1.0,1.15,1.19,1.23,1.24,1.27
1.0,1.19,1.31,1.31,1.32,1.33,1.33
1.0,1.2,1.22,1.28,1.29,1.29,1.31
1.0,1.25,1.26,1.3,1.31,1.31,1.31
1.0,1.31,1.31,1.31,1.32,1.33,1.33
1.0,1.24,1.32,1.33,1.34,1.35,1.35
1.0,1.18,1.25,1.27,1.27,1.28,1.31
1.0,1.24,1.25,1.26,1.29,1.29,1.29
1.0,1.27,1.28,1.29,1.3,1.31,1.31
1.0,1.17,1.2,1.26,1.28,1.28,1.3
1.0,1.25,1.26,1.28,1.28,1.29,1.3
1.0,1.28,1.29,1.3,1.31,1.33,1.33
1.0,1.2,1.23,1.29,1.3,1.31,1.33
1.0,1.18,1.19,1.25,1.28,1.28,1.29
1.0,1.17,1.33,1.33,1.35,1.35,1.35
0.64,1.0,1.21,1.26,1.26,1.32,1.32
1.0,1.14,1.3,1.31,1.32,1.32,1.32
1.0,1.2,1.2,1.22,1.25,1.29,1.3
1.0,1.41,1.41,1.41,1.41,1.41,1.41
1.0,1.27,1.32,1.32,1.32,1.32,1.33
1.0,1.14,1.17,1.28,1.33,1.33,1.33
1.0,1.13,1.14,1.15,1.19,1.22,1.24
1.0,1.29,1.3,1.3,1.33,1.33,1.34
1.0,1.29,1.3,1.31,1.31,1.31,1.31
1.0,1.19,1.28,1.29,1.3,1.3,1.31
1.0,1.0,1.07,1.15,1.21,1.22,1.24
1.0,1.21,1.32,1.33,1.33,1.33,1.34
1.0,1.25,1.26,1.28,1.3,1.31,1.33
1.0,1.23,1.27,1.29,1.29,1.32,1.32
1.0,1.1,1.1,1.18,1.2,1.21,1.22
1.0,1.09,1.09,1.16,1.19,1.21,1.23
0.98,1.0,1.08,1.23,1.27,1.31,1.31
1.0,1.23,1.24,1.27,1.28,1.3,1.3
1.0,1.2,1.2,1.28,1.3,1.32,1.32
1.0,1.29,1.31,1.32,1.32,1.33,1.33
0.74,0.98,0.99,1.0,1.04,1.17,1.19
1.0,1.08,1.13,1.15,1.23,1.24,1.24
1.0,1.14,1.28,1.28,1.29,1.3,1.31
1.0,1.07,1.28,1.3,1.31,1.34,1.34
1.0,1.21,1.23,1.24,1.24,1.26,1.26
1.0,1.24,1.27,1.28,1.3,1.33,1.33
1.0,1.24,1.3,1.3,1.31,1.32,1.32
1.0,1.26,1.28,1.29,1.31,1.31,1.31
1.0,1.28,1.31,1.31,1.31,1.31,1.31
1.0,1.19,1.22,1.27,1.28,1.29,1.29
1.0,1.3,1.31,1.31,1.31,1.31,1.32
1.0,1.22,1.25,1.28,1.28,1.3,1.3
0.66,1.0,1.25,1.34,1.34,1.35,1.35
1.0,1.14,1.18,1.19,1.24,1.26,1.26
1.0,1.3,1.31,1.32,1.32,1.33,1.33
0.66,1.0,1.23,1.33,1.33,1.33,1.34
1.0,1.33,1.33,1.33,1.34,1.34,1.34
1.0,1.22,1.24,1.27,1.31,1.31,1.31
1.0,1.22,1.26,1.28,1.31,1.32,1.32
1.0,1.25,1.26,1.27,1.27,1.29,1.32
1.0,1.26,1.29,1.31,1.32,1.32,1.32
1.0,1.09,1.25,1.25,1.27,1.29,1.29
1.0,1.01,1.2,1.24,1.25,1.27,1.27
1.0,1.25,1.27,1.3,1.33,1.33,1.34
1.0,1.27,1.27,1.27,1.3,1.31,1.31
1.0,1.25,1.29,1.31,1.31,1.33,1.33
1.0,1.23,1.24,1.24,1.25,1.26,1.27
1.0,1.15,1.19,1.26,1.26,1.27,1.29
0.9,1.0,1.26,1.29,1.3,1.3,1.31
1.0,1.07,1.14,1.22,1.22,1.27,1.27
1.0,1.27,1.27,1.29,1.33,1.33,1.33
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.26,1.27,1.3,1.31,1.31,1.32
1.0,1.24,1.26,1.28,1.3,1.33,1.33
1.0,1.07,1.11,1.14,1.16,1.16,1.17
1.0,1.09,1.12,1.18,1.19,1.19,1.21
1.0,1.25,1.26,1.26,1.26,1.26,1.26
1.0,1.26,1.29,1.29,1.3,1.3,1.31
1.0,1.08,1.19,1.19,1.2,1.21,1.24
1.0,1.32,1.32,1.33,1.33,1.34,1.34
1.0,1.22,1.23,1.29,1.31,1.33,1.33
1.0,1.32,1.33,1.34,1.34,1.34,1.34
1.0,1.25,1.28,1.29,1.29,1.32,1.33
1.0,1.18,1.18,1.22,1.23,1.23,1.25
1.0,1.23,1.25,1.26,1.26,1.27,1.27
1.0,1.27,1.29,1.3,1.31,1.32,1.32
0.84,0.99,1.0,1.0,1.16,1.23,1.26
1.0,1.17,1.27,1.29,1.3,1.3,1.31
1.0,1.3,1.31,1.33,1.33,1.34,1.34
1.0,1.2,1.21,1.23,1.24,1.25,1.27
1.0,1.31,1.32,1.32,1.33,1.33,1.33
1.0,1.29,1.3,1.3,1.31,1.32,1.32
1.0,1.3,1.3,1.3,1.32,1.33,1.33
1.0,1.2,1.26,1.28,1.28,1.29,1.29
1.0,1.29,1.29,1.3,1.3,1.32,1.32
0.97,1.0,1.1,1.2,1.21,1.22,1.3
1.0,1.24,1.26,1.3,1.32,1.32,1.32
1.0,1.32,1.33,1.33,1.33,1.33,1.34
1.0,1.29,1.31,1.32,1.32,1.32,1.33
1.0,1.2,1.31,1.41,1.41,1.41,1.41
1.0,1.23,1.31,1.32,1.33,1.33,1.33
1.0,1.18,1.22,1.24,1.24,1.27,1.29
1.0,1.12,1.12,1.13,1.15,1.15,1.17
1.0,1.21,1.22,1.27,1.28,1.28,1.3
1.0,1.08,1.21,1.23,1.26,1.26,1.27
1.0,1.2,1.2,1.24,1.25,1.26,1.28
1.0,1.09,1.09,1.18,1.18,1.23,1.24
1.0,1.28,1.28,1.29,1.29,1.31,1.33
1.0,1.32,1.32,1.33,1.33,1.33,1.33
1.0,1.28,1.29,1.31,1.31,1.31,1.33
0.81,1.0,1.24,1.25,1.25,1.26,1.28
1.0,1.24,1.26,1.26,1.31,1.32,1.32
1.0,1.2,1.21,1.31,1.34,1.36,1.36
1.0,1.32,1.33,1.33,1.34,1.34,1.34
1.0,1.3,1.3,1.31,1.32,1.32,1.32
1.0,1.31,1.32,1.33,1.34,1.34,1.35
1.0,1.25,1.25,1.26,1.27,1.27,1.27
1.0,1.31,1.33,1.33,1.35,1.35,1.35
1.0,1.27,1.3,1.31,1.31,1.32,1.32
1.0,1.27,1.27,1.31,1.31,1.32,1.32
1.0,1.28,1.3,1.3,1.32,1.32,1.32
1.0,1.29,1.31,1.33,1.33,1.34,1.34
1.0,1.29,1.3,1.34,1.34,1.34,1.34
1.0,1.28,1.33,1.35,1.35,1.36,1.36
1.0,1.23,1.23,1.23,1.24,1.28,1.28
1.0,1.12,1.16,1.28,1.3,1.31,1.31
0.85,1.0,1.2,1.23,1.24,1.25,1.28
1.0,1.19,1.25,1.26,1.26,1.28,1.33
0.64,1.0,1.1,1.25,1.25,1.27,1.28
1.0,1.18,1.24,1.29,1.3,1.32,1.32
1.0,1.27,1.3,1.31,1.31,1.31,1.31
1.0,1.28,1.29,1.29,1.31,1.31,1.31
1.0,1.18,1.25,1.26,1.27,1.28,1.28
1.0,1.32,1.32,1.33,1.33,1.33,1.34
1.0,1.18,1.31,1.31,1.31,1.31,1.33
1.0,1.05,1.05,1.16,1.16,1.2,1.2
0.0,0.69,0.69,1.0,1.07,1.09,1.09
1.0,1.18,1.25,1.29,1.31,1.32,1.33
1.0,1.11,1.25,1.28,1.28,1.29,1.29
1.0,1.24,1.27,1.27,1.28,1.28,1.29
1.0,1.41,1.41,1.41,1.41,1.41,1.41
0.97,1.0,1.1,1.13,1.15,1.17,1.19
1.0,1.26,1.26,1.27,1.29,1.3,1.31
1.0,1.21,1.22,1.23,1.29,1.3,1.3
1.0,1.02,1.3,1.32,1.33,1.33,1.33
1.0,1.23,1.24,1.25,1.28,1.29,1.29
1.0,1.28,1.28,1.29,1.33,1.33,1.34
1.0,1.28,1.28,1.3,1.31,1.31,1.32
1.0,1.31,1.32,1.32,1.32,1.32,1.32
1.0,1.09,1.16,1.16,1.18,1.25,1.26
1.0,1.23,1.28,1.29,1.3,1.3,1.32
1.0,1.23,1.25,1.26,1.27,1.27,1.31
1.0,1.19,1.23,1.26,1.27,1.28,1.3
1.0,1.23,1.25,1.28,1.29,1.29,1.3
1.0,1.29,1.32,1.32,1.33,1.35,1.41
1.0,1.26,1.3,1.31,1.33,1.33,1.33
1.0,1.02,1.07,1.15,1.15,1.19,1.22
1.0,1.08,1.17,1.19,1.21,1.24,1.25
1.0,1.31,1.32,1.33,1.33,1.33,1.33
0.94,1.0,1.09,1.16,1.19,1.2,1.2
1.0,1.2,1.22,1.22,1.25,1.27,1.28
1.0,1.16,1.18,1.23,1.26,1.27,1.27
1.0,1.11,1.28,1.29,1.31,1.32,1.33
1.0,1.22,1.22,1.22,1.23,1.26,1.28
1.0,1.22,1.24,1.29,1.29,1.3,1.3
1.0,1.22,1.23,1.29,1.31,1.31,1.31
1.0,1.2,1.25,1.25,1.27,1.28,1.3
1.0,1.19,1.21,1.21,1.21,1.22,1.25
1.0,1.25,1.28,1.29,1.31,1.33,1.33
1.0,1.26,1.29,1.31,1.31,1.31,1.32
0.97,1.0,1.27,1.29,1.31,1.32,1.32
